date,price,bedrooms,grade,has_basement,living_in_m2,renovated,nice_view,perfect_condition,real_bathrooms,has_lavatory,single_floor,month,quartile_zone
2014-05-15,312000.0,2,2,True,138.42547,False,False,False,2,True,False,5,1
2014-11-14,310000.0,2,2,False,105.90942,False,False,False,1,True,False,11,3
2014-12-24,320000.0,2,2,False,117.98681,False,True,False,1,False,True,12,2
2015-02-22,264500.0,2,3,False,151.43189,False,False,False,2,True,True,2,1
2015-01-06,700000.0,3,2,True,341.88304,False,False,False,3,False,False,1,4
2015-03-04,445000.0,1,2,True,84.54173,False,True,False,1,False,True,3,3
2014-06-04,240500.0,2,2,True,135.63838,False,False,False,1,True,True,6,1
2014-10-22,235000.0,1,1,False,139.3545,False,False,False,1,False,True,10,1
2014-07-11,206000.0,2,2,False,105.90942,False,False,False,1,True,True,7,1
2014-09-03,545000.0,2,3,False,118.91584,False,False,False,2,True,False,9,4
2014-05-13,475000.0,3,5,True,347.45722,False,False,False,2,True,True,5,2
2014-10-02,456000.0,3,3,True,206.24466,False,False,False,1,True,True,10,4
2015-01-23,478000.0,2,2,True,145.85771,False,False,False,2,True,True,1,4
2014-07-12,690000.0,3,4,False,269.4187,False,False,False,2,True,False,7,4
2014-05-16,675000.0,3,4,False,297.2896,False,False,False,2,True,False,5,3
2014-07-30,442500.0,2,2,True,167.2254,False,False,False,1,True,True,7,2
2014-06-08,540000.0,3,3,True,266.63161,False,False,False,3,False,False,6,3
2014-07-22,255000.0,3,2,True,163.50928,False,False,False,2,True,True,7,1
2014-08-26,399950.0,2,2,True,136.56741,False,False,False,1,False,True,8,3
2014-11-17,455000.0,3,2,True,178.37376,False,False,False,1,True,True,11,2
2015-02-27,435000.0,1,2,True,91.97397,False,False,False,1,False,True,2,3
2014-10-29,470000.0,3,3,False,234.11556,False,False,False,2,True,False,10,2
2014-10-10,155000.0,1,1,False,93.83203,False,False,False,1,False,False,10,2
2014-11-05,82000.0,2,1,False,79.89658,False,False,False,1,False,True,11,1
2014-09-25,650000.0,3,4,False,261.98646,False,False,False,2,True,False,9,4
2014-08-08,219950.0,1,1,False,93.83203,True,False,False,1,False,False,8,1
2014-10-21,489000.0,1,2,True,136.102895,False,False,False,2,True,False,10,4
2014-08-18,442500.0,3,2,False,143.07062,False,False,True,2,False,False,8,2
2015-03-09,314950.0,2,2,False,157.00607,False,False,False,2,True,False,3,2
2015-04-12,575000.0,1,3,True,114.27069,False,False,False,1,True,True,4,3
2015-03-30,740000.0,3,3,True,207.17369,False,True,False,2,True,False,3,4
2014-06-02,820000.0,2,3,True,200.67048,False,False,False,1,True,True,6,3
2014-05-13,700000.0,2,4,False,188.59309,False,False,False,2,True,False,5,3
2014-09-18,227000.0,2,1,False,104.98039,False,False,False,1,False,True,9,1
2014-06-23,260000.0,3,3,False,185.806,False,False,False,2,True,False,6,1
2015-02-19,208000.0,2,1,False,97.54814999999999,False,False,True,1,False,True,2,1
2015-04-09,625000.0,2,3,False,211.81884,False,False,False,2,True,False,4,4
2015-01-30,359000.0,2,2,False,184.87697,False,False,False,2,True,False,1,2
2015-04-07,630000.0,3,2,True,230.39944,False,False,False,2,False,False,4,3
2015-02-03,205000.0,2,2,False,111.4836,False,False,False,1,True,True,2,1
2014-12-24,539500.0,3,3,True,211.81884,False,False,False,2,True,True,12,2
2015-01-23,261000.0,3,2,False,169.08346,False,False,True,1,True,True,1,1
2014-11-11,423000.0,3,2,True,183.01891,False,False,True,2,False,False,11,2
2015-04-28,513000.0,3,2,True,179.30279,False,False,False,2,True,True,4,2
2014-08-27,690000.0,2,4,True,225.75429,False,False,False,2,True,True,8,4
2015-02-02,455000.0,2,2,False,128.20614,False,False,False,1,True,False,2,2
2014-10-28,849990.0,3,4,False,306.5799,False,False,False,2,True,False,10,4
2015-02-27,340000.0,3,2,False,114.27069,False,False,False,1,False,False,2,2
